Cact-Bk	Bk-Cact	Well-Sk	Sk-Well	Clk-Eth	Eth-Clk	Mn-Flam	Flam-Mn
44.9	52.82	61.52	350.09	327.07	359.24	347.06	321.83
40.17	64.58	35.21	45.89	311.5	311.44	357.58	248.49
7.43	33.38	82.57	64.85	282.29	9.34	348.87	6.13
45.83	24.16	28.72	27.21	353.02	304.13	335.85	314.25
48.98	48.38	22.87	22.21	289.14	29.53	27.79	11.16
3.82	34.4	50.84	359.07	347.11	43.11	313.65	5.17
50.16	31.84	72.9	34.98	12.41	318.36	323.71	1.69
36.84	30.06	69.4	13.36	331.02	22.5	354.13	48.88
21.06	32.45	71.02	25.88	303.48	298.99	310.25	258.15
40.83	63.32	18.74	359.93	322.4	25.29	46.25	44.51
